title,price,rating,reviews
"Lenovo V15 Gen 4 Laptop, 15.6"" FHD Display, AMD Ryzen 3 7320U Processor, Long Battery Life, RJ-45, USB-C, HDMI, w/WOWPC Bundle, Windows 11 Pro (16GB RAM | 1TB PCIe SSD)",$429.00,,11 ratings
"Lenovo IdeaPad 1 Student Laptop, Intel Dual Core Processor, 20GB RAM, 1TB SSD + 128GB eMMC, 15.6"" FHD Display, 1 Year Office 365, Windows 11 Home, Wi-Fi 6, Webcam, Bluetooth, SD Card Reader, Grey",$399.00,4.2 out of 5 stars,48 ratings
"HP Newest 14"" HD Light Thin Laptop Student Business, Quad-Core Intel N4120, 4GB RAM, 128GB (64GB eMMC+ 64GB SD), Webcam, Wi-Fi, Long Battery, Windows 11S + 1 Year Office 365+MarxsolAccessory Rose Gold",$229.00,,57 ratings
"ASUS Vivobook Go 12 L210 11.6” ultra-thin laptop, 2022 version, Intel Celeron N4020, 4GB RAM, 64GB eMMC, Win 11 Home in S mode with One Year of Office 365 Personal, L210MA-DS02",$149.99,3.9 out of 5 stars,896 ratings
"Lenovo V15 Gen 4 Laptop, 15.6"" FHD Display, AMD Ryzen 3 7320U Processor, Long Battery Life, RJ-45, USB-C, HDMI, w/WOWPC Bundle, Windows 11 Pro (16GB RAM | 1TB PCIe SSD)",$429.00,,11 ratings
"WIPEMIK Laptop Computer, 16GB LPDDR5 RAM Laptop 512GB NVMe SSD, Intel 4-Core N100 Processor, 15.6 Inch 1080P IPS Display Windows 11 Pro Laptops, WiFi 6, BT 5.0, RJ45 Ethernet, USB Type-C, Fingerprint",$349.00,4.8 out of 5 stars,52 ratings
"ASUS Chromebook CM14 Laptop, 14"" HD Anti-Glare Display (1366x768), MediaTek Kompanio 520, 4GB RAM, 64GB eMMC, ChromeOS, Gray, CM1402CM2A-DS44, Gravity Grey",$199.99,,896 ratings
"Lenovo 15.6"" IdeaPad 1 Laptop, 20GB Memory, 1TB SSD Storage, Intel Pentium Processor (4-cores, 3.3GHz), 15.6"" Anti-glare Display, Wi-Fi 6 and Bluetooth, HDMI, Type-C, 1 Year Office 365,Windows 11 Home",$399.87,4.2 out of 5 stars,125 ratings
"ACEMAGIC Laptop Computer 16GB DDR4 512GB SSD, Intel Quad-Core N95 Processor Windows 11 Laptop, 15.6 inch Laptop with Metal Body Support 1080P, TF Card, WiFi, BT5.0, Type_C, 38Wh Battery",$349.99,,15 ratings
"Dell Inspiron 16 5620 Laptop- 16.0-inch 16:10 FHD+ (1920 x 1200) Display, Intel Core i7-1255U, 16GB Memory, 512GB SSD, NVIDIA GeForce MX570, Intel Wi-Fi 6E, Windows 11 Home - Platinum Silver",$824.99,4.2 out of 5 stars,46 ratings
"OTVOC Laptop 16 inch Windows 11 Pro, VocBook 16, Intel 12th Gen N95, Up to 3.4GHz, 16GB DDR5 RAM, 1TB PCIE NVME SSD, 16"" FHD IPS 1920x1200, 2.0MP, 2.4G+5G WiFi, BT 5.0, HDMI, RJ45, Type C, Gray",$389.99,,504 ratings
